"LocationDesc","Response","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","DisplayOrder"
"alabama",2,15.9592592592593,12.4925925925926,19.4259259259259,7
"arizona",2,8.8,6.61388888888889,10.9972222222222,7
"arkansas",2,18.3916666666667,15.275,21.5125,7
"california",2,11.3333333333333,9.23333333333333,13.4416666666667,7
"colorado",2,17.1,12.75,21.45,7
"connecticut",2,9.51764705882353,7.34117647058823,11.7039215686275,7
"delaware",2,12.2645833333333,10.1104166666667,14.4145833333333,7
"district of columbia",2,12.0166666666667,9.3,14.7333333333333,7
"florida",2,14.4666666666667,12.2666666666667,16.6666666666667,7
"georgia",2,11.7179487179487,8.96923076923077,14.4692307692308,7
"guam",2,21.5666666666667,18.5333333333333,24.55,7
"hawaii",2,7.47142857142857,5.36428571428571,9.56666666666667,7
"idaho",2,9.46666666666667,7.28333333333333,11.6,7
"illinois",2,12.4611111111111,9.11388888888889,15.8138888888889,7
"indiana",2,12.6589743589744,10.3897435897436,14.9307692307692,7
"iowa",2,14.6666666666667,11.3916666666667,17.9388888888889,7
"kansas",2,12.4291666666667,9.35,15.5125,7
"kentucky",2,22.2363636363636,18.8787878787879,25.5969696969697,7
"louisiana",2,12.375,8.71388888888889,16.0333333333333,7
"maine",2,11.6166666666667,8.33333333333333,14.9333333333333,7
"maryland",2,13.8333333333333,12.8666666666667,14.7666666666667,7
"massachusetts",2,13.8333333333333,11.0333333333333,16.6333333333333,7
"michigan",2,18.0666666666667,15.5277777777778,20.5833333333333,7
"minnesota",2,9.44166666666667,7.5875,11.2833333333333,7
"mississippi",2,13.4505747126437,10.8551724137931,16.0494252873563,7
"missouri",2,11.9095238095238,9.1,14.7261904761905,7
"nebraska",2,13.5,11.1606060606061,15.8484848484848,7
"new hampshire",2,14.35,11.3291666666667,17.3666666666667,7
"new jersey",2,10.1351851851852,8.18703703703704,12.0703703703704,7
"new mexico",2,11.1666666666667,8.2,14.1,7
"new york",2,16.2833333333333,12.225,20.3833333333333,7
"north carolina",2,12.637037037037,10.6185185185185,14.6574074074074,7
"north dakota",2,12.6583333333333,9.88541666666667,15.4333333333333,7
"ohio",2,10.8923076923077,8.08974358974359,13.6897435897436,7
"oklahoma",2,14.7822222222222,11.9977777777778,17.5755555555556,7
"oregon",2,2.9,1.5,4.3,7
"pennsylvania",2,11.497619047619,9.37142857142857,13.6309523809524,7
"rhode island",2,13.7888888888889,11.1833333333333,16.3944444444444,7
"south carolina",2,13.1888888888889,9.97333333333333,16.4022222222222,7
"south dakota",2,11.4866666666667,8.4,14.55,7
"tennessee",2,21.0047619047619,18.3761904761905,23.6190476190476,7
"texas",2,20.9,16.1,25.75,7
"utah",2,5.73888888888889,3.46111111111111,8.01666666666667,7
"vermont",2,12.1583333333333,8.91666666666667,15.4166666666667,7
"virgin islands",2,3.19166666666667,1.70833333333333,4.64166666666667,7
"virginia",2,4.11666666666667,2.61666666666667,5.61666666666667,7
"washington",2,2.9,1.5,4.3,7
"west virginia",2,16.4479166666667,13.5416666666667,19.35625,7
"wisconsin",2,12.5176470588235,9.87647058823529,15.1607843137255,7
"wyoming",2,14.6,12.1666666666667,17.0666666666667,7
